weight,n_estimators,max_depth,learning_rate,gamma,train_acc,val_acc
0.2,60,10,1e-05,0,0.8655257936507936,0.7794973544973545
0.5,60,10,1e-05,0,0.8631448412698413,0.7794973544973545
0.8,60,10,1e-05,0,0.8653108465608466,0.7799603174603175
0.2,30,10,1e-05,0,0.8690476190476192,0.7757275132275132
0.5,30,10,1e-05,0,0.8650793650793652,0.7736772486772486
0.8,30,10,1e-05,0,0.8672123015873016,0.7761243386243386
0.2,12,10,1e-05,0,0.8647321428571427,0.7779761904761905
0.5,12,10,1e-05,0,0.8639219576719578,0.7755952380952381
0.8,12,10,1e-05,0,0.8651785714285716,0.7759920634920634
0.2,5,10,1e-05,0,0.8656580687830688,0.778042328042328
0.5,5,10,1e-05,0,0.8651455026455027,0.7764550264550264
0.8,5,10,1e-05,0,0.866087962962963,0.7776455026455026
0.2,100,7,1e-05,0,0.793882275132275,0.7470238095238095
0.5,100,7,1e-05,0,0.7953207671957673,0.7421957671957673
0.8,100,7,1e-05,0,0.796329365079365,0.746957671957672
0.2,60,7,1e-05,0,0.7954695767195767,0.746362433862434
0.5,60,7,1e-05,0,0.796412037037037,0.7461640211640213
0.8,60,7,1e-05,0,0.7959821428571429,0.746494708994709
0.2,30,7,1e-05,0,0.7945436507936507,0.7460978835978835
0.5,30,7,1e-05,0,0.7978670634920635,0.7496693121693122
0.8,30,7,1e-05,0,0.7953703703703704,0.7486772486772486
0.2,12,7,1e-05,0,0.7955357142857143,0.74510582010582
0.5,12,7,1e-05,0,0.7943287037037037,0.7466269841269841
0.8,12,7,1e-05,0,0.7967757936507937,0.7457010582010583
0.2,5,7,1e-05,0,0.7932539682539682,0.746957671957672
0.5,5,7,1e-05,0,0.794047619047619,0.7460978835978836
0.8,5,7,1e-05,0,0.7949404761904763,0.7455026455026456
0.2,100,4,1e-05,0,0.6978670634920636,0.6812169312169313
0.5,100,4,1e-05,0,0.6995370370370371,0.68260582010582
0.8,100,4,1e-05,0,0.6941633597883597,0.6782407407407407
0.2,60,4,1e-05,0,0.6949239417989418,0.6798280423280423
0.5,60,4,1e-05,0,0.698693783068783,0.6806216931216931
0.8,60,4,1e-05,0,0.6960152116402116,0.682010582010582
0.2,30,4,1e-05,0,0.6967427248677248,0.6804894179894179
0.5,30,4,1e-05,0,0.694047619047619,0.6819444444444444
0.8,30,4,1e-05,0,0.6995039682539682,0.6834656084656086
0.2,12,4,1e-05,0,0.6953207671957672,0.6758597883597883
0.5,12,4,1e-05,0,0.692989417989418,0.676984126984127
0.8,12,4,1e-05,0,0.7003472222222222,0.6821428571428572
0.2,5,4,1e-05,0,0.6982638888888889,0.6845238095238095
0.5,5,4,1e-05,0,0.6922784391534392,0.6796296296296296
0.8,5,4,1e-05,0,0.6963128306878306,0.6773148148148148
0.2,100,2,1e-05,0,0.6279431216931217,0.6236772486772486
0.5,100,2,1e-05,0,0.630654761904762,0.6277777777777778
0.8,100,2,1e-05,0,0.6257440476190477,0.6226190476190476
0.2,60,2,1e-05,0,0.6280423280423281,0.6226190476190476
0.5,60,2,1e-05,0,0.6287698412698413,0.6257275132275133
0.8,60,2,1e-05,0,0.6271164021164021,0.6246031746031746
0.2,30,2,1e-05,0,0.626521164021164,0.6221560846560846
0.5,30,2,1e-05,0,0.6247685185185186,0.6199735449735451
0.8,30,2,1e-05,0,0.6263558201058201,0.6221560846560846
0.2,12,2,1e-05,0,0.627910052910053,0.6230158730158729
0.5,12,2,1e-05,0,0.6264384920634921,0.623478835978836
0.8,12,2,1e-05,0,0.626686507936508,0.6226190476190476
0.2,5,2,1e-05,0,0.6267195767195768,0.6221560846560846
0.5,5,2,1e-05,0,0.6266369047619047,0.6249338624338624
0.8,5,2,1e-05,0,0.62567791005291,0.6200396825396826
0.5,50,10,1,0,1.0,0.8519179894179894
0.5,75,10,1,0,1.0,0.8567460317460316
0.5,100,10,1,0,1.0,0.8589285714285714
0.5,125,10,1,0,1.0,0.8605158730158731
0.5,50,10,0.1,0,0.96875,0.8431878306878307
0.5,75,10,0.1,0,0.9808862433862433,0.8478835978835979
0.5,100,10,0.1,0,0.9915674603174605,0.8510582010582011
0.5,125,10,0.1,0,0.9967096560846562,0.8597883597883598
0.5,50,10,1,0.1,1.0,0.8490740740740741
0.5,75,10,1,0.1,1.0,0.8466931216931217
0.5,100,10,1,0.1,1.0,0.8491402116402116
0.5,125,10,1,0.1,1.0,0.8491402116402117
0.5,50,10,0.1,0.1,0.9684193121693122,0.8415343915343915
0.5,75,10,0.1,0.1,0.9823082010582012,0.8505291005291005
0.5,100,10,0.1,0.1,0.9916335978835977,0.8554232804232804
0.5,125,10,0.1,0.1,0.9964781746031746,0.8575396825396826
0.5,50,10,1,1,0.9950562169312169,0.8341269841269842
0.5,75,10,1,1,0.9946263227513228,0.8312169312169313
0.5,100,10,1,1,0.9942294973544973,0.8302910052910052
0.5,125,10,1,1,0.9954861111111111,0.8295634920634921
0.5,50,10,0.1,1,0.9550099206349205,0.841005291005291
0.5,75,10,0.1,1,0.9666666666666668,0.8445105820105819
0.5,100,10,0.1,1,0.9724537037037038,0.8488756613756614
0.5,125,10,0.1,1,0.9755787037037038,0.846031746031746
0.5,50,10,1,10,0.8419973544973546,0.7771164021164021
0.5,75,10,1,10,0.841253306878307,0.7806878306878307
0.5,100,10,1,10,0.8432374338624339,0.780489417989418
0.5,125,10,1,10,0.8441137566137564,0.7783068783068783
0.5,50,10,0.1,10,0.83301917989418,0.7929232804232804
0.5,75,10,0.1,10,0.8338789682539683,0.788690476190476
0.5,100,10,0.1,10,0.8356316137566138,0.792526455026455
0.5,125,10,0.1,10,0.8347718253968253,0.7937169312169312
0.5,150,10,1,0,1.0,0.8570767195767196
0.5,200,10,1,0,1.0,0.8543650793650794
0.5,300,10,1,0,1.0,0.8593253968253969
0.5,400,10,1,0,1.0,0.8578703703703703
0.5,500,10,1,0,1.0,0.8583994708994709
0.5,150,20,1,0,1.0,0.8555555555555555
0.5,200,20,1,0,1.0,0.8544312169312169
0.5,300,20,1,0,1.0,0.8529761904761906
0.5,400,20,1,0,1.0,0.8574735449735449
0.5,500,20,1,0,1.0,0.8570767195767196
0,50,10,0.1,0.1,0.14285714285714285,0.14285714285714285
1,50,10,0.1,0.1,0.9692791005291006,0.8427248677248678
